full_name,team,position,age,gp,mpg,fta,ftper,twopA,twoPer,threepA,threePer,ppg,rpg,apg,spg,bpg,topg,versatilityIndex
Nicolas Batum,Lac,G-F,32.42,67,27.4,58,0.828,141,0.574,271,0.406,8.1,4.7,2.2,1.03,0.55,0.79,6.4
Aron Baynes,Tor,C-F,34.44,53,18.5,41,0.707,200,0.535,103,0.262,6.1,5.2,0.9,0.3,0.43,0.87,6.6
Kent Bazemore,Gol,G-F,31.88,67,19.9,78,0.692,208,0.486,184,0.408,7.2,3.4,1.6,1.03,0.49,1.22,6.8
Darius Bazley,Okc,F-G,20.93,55,31.2,178,0.702,404,0.47,286,0.29,13.7,7.2,1.8,0.53,0.45,2.22,7.2
Bradley Beal,Was,G,27.89,60,35.8,459,0.889,1009,0.535,373,0.349,31.3,4.7,4.4,1.15,0.37,3.12,9.7
Malik Beasley,Min,G,24.47,37,32.8,80,0.85,279,0.487,321,0.399,19.6,4.4,2.4,0.81,0.19,1.62,7.2
Jordan Bell,Was,F,26.36,5,13.4,0,0,18,0.389,2,0,2.8,3.8,1,0.6,0.6,0.6,6.6
Jordan Bell,Gol,F,26.36,1,14.7,2,0.5,2,0,0,0,1,5,2,0,2,1,5.9
DeAndre' Bembry,Tor,G-F,26.87,51,19.1,66,0.682,175,0.589,53,0.264,5.7,2.9,2.1,1.04,0.35,1.39,6.8
Davis Bertans,Was,F,28.51,57,25.7,115,0.87,50,0.48,428,0.395,11.5,3,0.9,0.58,0.23,0.58,4.9
Patrick Beverley,Lac,G,32.84,37,22.5,45,0.8,79,0.468,141,0.397,7.5,3.2,2.1,0.76,0.76,0.92,6.6
Saddiq Bey,Det,F,22.1,70,27.3,147,0.844,232,0.448,460,0.38,12.2,4.6,1.4,0.74,0.2,0.86,6.3
Tyler Bey,Dal,F,23.26,18,3.9,5,0.6,18,0.333,4,0.25,1,1,0.2,0,0.06,0.17,6
Khem Birch,Orl,C,28.63,48,19.8,85,0.741,188,0.479,21,0.19,5.3,5.1,1.1,0.67,0.58,0.48,6.3
Khem Birch,Tor,C,28.63,19,30.4,44,0.636,140,0.614,31,0.29,11.9,7.5,1.9,0.89,1.16,1.11,7.3
Goga Bitadze,Ind,C-F,21.83,45,12.5,61,0.738,115,0.548,79,0.253,5.1,3.3,0.8,0.2,1.33,0.38,7.6
Bismack Biyombo,Cha,C,28.72,66,20.4,105,0.448,241,0.589,1,0,5,5.3,1.2,0.26,1.12,1.08,6.2
Nemanja Bjelica,Sac,F,33.02,26,16.9,42,0.762,92,0.565,58,0.293,7.2,3.8,1.9,0.31,0.08,1.08,8.8
Nemanja Bjelica,Mia,F,33.02,11,14.2,9,0.556,19,0.526,27,0.37,5,2.5,1.8,0.64,0.27,0.45,8
Eric Bledsoe,Nor,G,31.44,71,29.7,195,0.687,376,0.495,355,0.341,12.2,3.4,3.8,0.77,0.34,1.58,7.3
Keljin Blevins,Por,G,25.48,17,4.4,0,0,12,0.25,8,0.25,0.7,0.6,0.2,0.12,0,0.29,4
Bojan Bogdanovic,Uta,F,32.08,72,30.8,265,0.879,464,0.487,461,0.39,17,3.9,1.9,0.63,0.06,1.78,6.5
Bogdan Bogdanovic,Atl,G,28.74,44,29.7,44,0.909,232,0.522,333,0.438,16.4,3.6,3.3,1.11,0.3,1.23,7.8
Bol Bol,Den,C-F,21.5,32,5,15,0.667,34,0.471,24,0.375,2.2,0.8,0.2,0.09,0.31,0.41,5.6
Marques Bolden,Cle,C,23.08,6,4.8,8,0.625,3,0.333,0,0,1.2,1,0,0.33,0.33,0.33,0
Jordan Bone,Orl,G,23.53,14,14,0,0,22,0.591,32,0.313,4,1.7,1.3,0.14,0,0.21,5.9
Isaac Bonga,Was,G,21.52,40,10.8,8,0.625,34,0.5,47,0.277,2,1.7,0.6,0.28,0.23,0.55,4.7
Devin Booker,Pho,G,24.54,67,33.9,392,0.867,916,0.543,371,0.34,25.6,4.2,4.3,0.79,0.24,3.09,9.1
Chris Boucher,Tor,F-C,28.35,60,24.2,193,0.788,325,0.609,235,0.383,13.6,6.7,1.1,0.58,1.85,0.77,7.7
Brian Bowen II,Ind,F-G,22.62,5,2.8,1,1,3,0.333,1,0,0.6,0.6,0,0,0,0,0
Avery Bradley,Mia,G,30.47,10,21.1,9,0.778,28,0.536,38,0.421,8.5,1.8,1.4,0.7,0.1,0.9,5.3
Avery Bradley,Hou,G,30.47,17,23,6,0.833,42,0.381,63,0.27,5.2,2.3,1.9,0.82,0.18,1.12,4.9
Tony Bradley,Phi,C-F,23.35,20,14.4,11,0.636,74,0.689,1,0,5.5,5.2,0.9,0.3,0.65,0.3,8.2
Tony Bradley,Okc,C-F,23.35,22,18,44,0.705,120,0.667,2,0,8.7,6.1,0.9,0.41,0.77,1.23,8.1
Jarrell Brantley,Uta,F,24.94,28,4.9,2,1,24,0.542,28,0.429,2.3,1,0.5,0.25,0.07,0.29,8.6
Ignas Brazdeikis,Nyk,F,22.35,4,1.8,2,1,1,0,0,0,0.5,0.5,0.3,0,0,0.25,9.4
Ignas Brazdeikis,Phi,F,22.35,1,7.9,0,0,2,0,1,0,0,2,0,0,0,0,0
Ignas Brazdeikis,Orl,F,22.35,8,29.2,12,0.667,52,0.462,27,0.407,11.1,5.1,2,0.5,0.38,1.38,6.6
Miles Bridges,Cha,F,23.16,66,29.3,113,0.867,332,0.593,290,0.4,12.7,6,2.2,0.67,0.79,1.61,7.5
Mikal Bridges,Pho,F,24.71,72,32.6,131,0.84,353,0.649,315,0.425,13.5,4.3,2.1,1.06,0.88,0.81,6.1
Amida Brimah,Ind,C,27.26,5,5.9,3,1,8,0.625,0,0,2.6,1.6,0.2,0,1,0.8,6.4
Oshae Brissett,Ind,F-G,22.91,21,24.7,65,0.769,73,0.548,78,0.423,10.9,5.5,0.9,0.9,0.95,0.48,6.1
Malcolm Brogdon,Ind,G,28.43,56,34.5,177,0.864,606,0.493,374,0.388,21.2,5.3,5.9,0.88,0.27,2.05,10.1
Armoni Brooks,Hou,G,22.95,20,26,12,0.583,35,0.514,157,0.382,11.2,3.4,1.5,0.6,0.25,1.1,5.9
Dillon Brooks,Mem,G-F,25.32,67,29.8,195,0.815,659,0.461,372,0.344,17.2,2.9,2.3,1.16,0.39,1.78,6.5
Charlie Brown Jr.,Okc,G,23.29,9,16.9,10,0.9,22,0.364,21,0.238,4.4,1.9,1,0.44,0.22,0.67,4.8
Troy Brown Jr.,Was,G-F,21.8,21,13.7,15,0.667,43,0.442,46,0.304,4.3,2.9,0.9,0.14,0.19,0.76,6.5
Troy Brown Jr.,Chi,G-F,21.8,13,18.2,6,0.833,31,0.677,24,0.333,5.5,3.4,0.8,0.54,0.15,0.38,5.4
Bruce Brown,Bro,G-F,24.75,65,22.3,117,0.735,364,0.599,59,0.288,8.8,5.4,1.6,0.86,0.43,0.83,7.6
Jaylen Brown,Bos,G-F,24.56,58,34.5,250,0.764,701,0.535,410,0.398,24.7,6,3.4,1.24,0.55,2.72,9.2
Moses Brown,Okc,C,21.59,43,21.4,126,0.619,269,0.543,0,0,8.6,8.9,0.2,0.72,1.12,1,4.6
Sterling Brown,Hou,G-F,26.26,51,24.1,31,0.806,119,0.496,215,0.423,8.2,4.4,1.4,0.75,0.24,0.8,6.1
